label,text,label_num,clean_text,text_len
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,catch bus frying egg make tea eating moms left dinner feel love,134
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,im back amp packing car ill let know theres room,75
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,ahhh work vaguely remember feel like lol,64
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,wait thats still clear sure sarcastic thats x doesnt want live us,130
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 wont go badly cheers,189
ham,K tell me anything about you.,0,k tell anything,29
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,fear fainting housework quick cuppa,84
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,thanks subscription ringtone uk mobile charged å£5month please confirm replying yes reply charged,159
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,yup ok go home look timings msg ì xuhui going learn 2nd may lesson 8am,123
ham,"Oops, I'll let you know when my roommate's done",0,oops ill let know roommates done,47
ham,I see the letter B on my car,0,see letter b car,28
ham,Anything lor... U decide...,0,anything lor u decide,27
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,hello hows saturday go texting see youd decided anything tomo im trying invite anything,155
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,pls go ahead watts wanted sure great weekend abiola,82
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,forget tell want need crave love sweet arabian steed mmmmmm yummy,142
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,07732584351 rodger burns msg tried call reply sms free nokia mobile free camcorder please call 08000930705 delivery tomorrow,172
ham,WHO ARE YOU SEEING?,0,seeing,19
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,great hope like man well endowed ltgt inches,72
ham,No calls..messages..missed calls,0,callsmessagesmissed calls,32
ham,Didn't you get hep b immunisation in nigeria.,0,didnt get hep b immunisation nigeria,45
ham,"Fair enough, anything going on?",0,fair enough anything going,31
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,yeah hopefully tyler cant could maybe ask around bit,67
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospitals weak suckers,148
ham,What you thinked about me. First time you saw me in class.,0,thinked first time saw class,58
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt,124
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,k fyi x ride early tomorrow morning hes crashing place tonight,80
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing,291
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,120
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,know mallika sherawat yesterday find lturlgt,76
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,congrats 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss,161
ham,"Sorry, I'll call later in meeting.",0,sorry ill call later meeting,34
ham,Tell where you reached,0,tell reached,22
ham,Yes..gauti and sehwag out of odi series.,0,yesgauti sehwag odi series,40
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,gonna pick 1 burger way home cant even move pain killing,108
ham,Ha ha ha good joke. Girls are situation seekers.,0,ha ha ha good joke girls situation seekers,48
ham,Its a part of checking IQ,0,part checking iq,25
ham,"Sorry my roommates took forever, it ok if I come by now?",0,sorry roommates took forever ok come,56
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,110
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",1,valued customer pleased advise following recent review mob awarded å£1500 bonus prize call 09066364589,153
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",0,today song dedicated day song u dedicate send ur valuable frnds first rply,124
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,urgent ur awarded complimentary trip eurodisinc trav acoentry41 å£1000 claim txt dis 87121 186å£150morefrmmob shracomorsglsuplt10 ls1 3aj,161
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",1,hear new divorce barbie comes kens stuff,80
ham,I plane to give on this month end.,0,plane give month end,34
ham,Wah lucky man... Then can save money... Hee...,0,wah lucky man save money hee,46
ham,Finished class where are you.,0,finished class,29
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,hi babe im home wanna something xx,45
ham,K..k:)where are you?how did you performed?,0,kkwhere youhow performed,42
ham,U can call me now...,0,u call,20
ham,I am waiting machan. Call me once you free.,0,waiting machan call free,43
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,thats cool gentleman treat dignity respect,73
ham,I like you peoples very much:) but am very shy pa.,0,like peoples much shy pa,50
ham,Does not operate after  &lt;#&gt;  or what,0,operate ltgt,42
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,0,still looking job much tas earn,76
ham,"Sorry, I'll call later",0,sorry ill call later,22
ham,K. Did you call me just now ah? ,0,k call ah,32
ham,Ok i am on the way to home hi hi,0,ok way home hi hi,32
ham,You will be in the place of that man,0,place man,36
ham,Yup next stop.,0,yup next stop,14
ham,"I call you later, don't have network. If urgnt, sms me.",0,call later dont network urgnt sms,55
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,real u getting yo need 2 tickets one jacket im done already used multis,121
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,yes started send requests make pain came back im back bed double coins factory gotta cash nitros,144
ham,I'm really not up to it still tonight babe,0,im really still tonight babe,42
ham,"Ela kano.,il download, come wen ur free..",0,ela kanoil download come wen ur free,41
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,0,yeah donû÷t stand close tho youû÷ll catch something,62
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0,sorry pain ok meet another night spent late afternoon casualty means havent done stuff42moro includes time sheets sorry,195
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts u smile becoz someone still loves see u smiling,141
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1,please call customer service representative 0800 169 6031 10am9pm guaranteed å£1000 cash å£5000 prize,139
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,havent planning buy later check already lido got 530 show e afternoon u finish work already,107
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",1,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml,125
ham,Watching telugu movie..wat abt u?,0,watching telugu moviewat abt u,33
ham,i see. When we finish we have loads of loans to pay,0,see finish loads loans pay,51
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",0,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham,184
ham,Please don't text me anymore. I have nothing else to say.,0,please dont text anymore nothing else say,57
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,okay name ur price long legal wen pick u ave x ams xx,81
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,im still looking car buy gone 4the driving test yet,76
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune,160
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston,183
ham,Umma my life and vava umma love you lot dear,0,umma life vava umma love lot dear,44
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,thanks lot wishes birthday thanks making birthday truly memorable,95
ham,"Aight, I'll hit you up when I get some cash",0,aight ill hit get cash,43
ham,How would my ip address test that considering my computer isn't a minecraft server,0,would ip address test considering computer isnt minecraft server,82
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,know grumpy old people mom like better lying always one play jokes,115
ham,Dont worry. I guess he's busy.,0,dont worry guess hes busy,30
ham,What is the plural of the noun research?,0,plural noun research,40
ham,Going for dinner.msg you after.,0,going dinnermsg,31
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,im ok wif cos like 2 try new things scared u dun like mah cos u said loud,96
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,gent trying contact last weekends draw shows å£1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm,159
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened,143
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,entered cabin pa said happy bday boss felt special askd 4 lunch lunch invited apartment went,156
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1,winner u specially selected 2 receive å£1000 4 holiday flights inc speak live operator 2 claim 0871277810910pmin 18,153
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0,goodo yes must speak friday eggpotato ratio tortilla needed,72
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,hmmmy uncle informed hes paying school directly pls buy food,86
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,private 2004 account statement 07742676969 shows 786 unredeemed bonus points claim call 08719180248 identifier code 45239 expires,144
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,urgent mobile awarded å£2000 bonus caller prize 5903 final try contact u call landline 09064019788 box42wr29c 150ppm,157
ham,here is my new address -apples&pairs&all that malarky,0,new address applespairsall malarky,53
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,todays voda numbers ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rates app,156
ham,I am going to sao mu today. Will be done only at 12 ,0,going sao mu today done 12,52
ham,ÌÏ predict wat time Ì_'ll finish buying?,0,ìï predict wat time ìll finish buying,40
ham,"Good stuff, will do.",0,good stuff,20
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise,244
ham,Are you there in room.,0,room,22
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,107
ham,K..k:)how much does it cost?,0,kkhow much cost,28
ham,I'm home.,0,im home,9
ham,"Dear, will call Tmorrow.pls accomodate.",0,dear call tmorrowpls accomodate,39
ham,First answer my question.,0,first answer question,25
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277 å£150 sptyrone,126
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join uks largest dogging network bt txting gravel 69888 nt ec2a 31pmsg150p,162
ham,I only haf msn. It's yijue@hotmail.com,0,haf msn yijuehotmailcom,38
ham,He is there. You call and meet him,0,call meet,34
ham,No no. I will check all rooms befor activities,0,check rooms befor activities,46
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,youll rcv msgs chat svc free hardcore services text go 69988 u get nothing u must age verify yr network try,155
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,0,got c lazy type forgot ì lect saw pouch like v nice,86
ham,"K, text me when you're on the way",0,k text youre way,33
ham,"Sir, Waiting for your mail.",0,sir waiting mail,27
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",0,swt thought nver get tired little things 4 lovable persons cozsomtimes little things occupy biggest part hearts gud ni8,158
ham,I know you are. Can you pls open the back?,0,know pls open back,42
ham,Yes see ya not on the dot,0,yes see ya dot,25
ham,Whats the staff name who is taking class for us?,0,whats staff name taking class us,48
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1,freemsg havent replied text im randy sexy female live local luv hear u netcollex ltd 08700621170150p per msg reply stop end,159
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,ummmawill call check inour life begin qatar pls pray hard,84
ham,K..i deleted my contact that why?,0,ki deleted contact,33
ham,Sindu got job in birla soft ..,0,sindu got job birla soft,30
ham,The wine is flowing and i'm i have nevering..,0,wine flowing im nevering,45
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,yup thk cine better cos need 2 go 2 plaza mah,59
ham,Ok... Ur typical reply...,0,ok ur typical reply,25
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune,160
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill see guess like things must exist like rain hail mist time done become one,384
ham,Aaooooright are you at work?,0,aaooooright work,28
ham,I'm leaving my house now...,0,im leaving house,27
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0,hello love get interview today happy good boy think meare missing,157
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,1,customer service annoncement new years delivery waiting please call 07046744435 arrange delivery,124
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,winner u specially selected 2 receive å£1000 cash 4 holiday flights inc speak live operator 2 claim 0871277810810,146
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0,keep safe need miss already envy everyone sees real life,115
ham,New car and house for my parents.:)i have only new job in hand:),0,new car house parentsi new job hand,64
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0,im love im excited day spend make happy,85
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,pls stop bootydelious 32f inviting friend reply yes434 no434 see wwwsmsacubootydelious stop send stop frnd 62468,152
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",1,bangbabes ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internetservice menu,155
ham,I place all ur points on e cultures module already.,0,place ur points e cultures module already,51
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,1,urgent trying contact last weekends draw shows å£900 prize guaranteed call 09061701939 claim code s89 valid 12hrs,157
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0,hi frnd best way avoid missunderstding wit beloved ones,74
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,0,great escape fancy bridge needs lager see tomo,67
ham,Yes :)it completely in out of form:)clark also utter waste.,0,yes completely formclark also utter waste,59
ham,"Sir, I need AXIS BANK account no and bank address.",0,sir need axis bank account bank address,50
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",0,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao,94
ham,What time you coming down later? ,0,time coming later,33
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",0,bloody hell cant believe forgot surname mr ill give u clue spanish begins,105
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",0,well im gonna finish bath goodfine night,61
ham,Let me know when you've got the money so carlos can make the call,0,let know youve got money carlos make call,65
ham,U still going to the mall?,0,u still going mall,26
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0,turns friends staying whole show wont back til ltgt feel free go ahead smoke ltgt worth,146
ham,Text her. If she doesnt reply let me know so i can have her log in,0,text doesnt reply let know log,66
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0,hi spoke maneesha v wed like know satisfied experience reply toll free yes,126
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0,lifted hopes offer money need especially end month approaches hurts studying anyways gr8 weekend,159
ham,Lol no. U can trust me.,0,lol u trust,23
ham,ok. I am a gentleman and will treat you with dignity and respect.,0,ok gentleman treat dignity respect,65
ham,"He will, you guys close?",0,guys close,24
ham,Going on nothing great.bye,0,going nothing greatbye,26
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss,152
ham,"Haha awesome, be there in a minute",0,haha awesome minute,34
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1,please call customer service representative freephone 0808 145 4742 9am11pm guaranteed å£1000 cash å£5000 prize,149
ham,Have you got Xmas radio times. If not i will get it now,0,got xmas radio times get,55
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0,jus reached home go bathe first sis using net tell u finishes k,88
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,1,unique enough find 30th august wwwareyouuniquecouk,72
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0,im sorry ive joined league people dont keep touch mean great deal friend times even great personal cost great week,185
ham,Hi :)finally i completed the course:),0,hi finally completed course,37
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0,stop however suggest stays someone able give ors every stool,111
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0,hope youve settled new school year wishin gr8 day,92
ham,Gud mrng dear hav a nice day,0,gud mrng dear hav nice day,28
ham,Did u got that persons story,0,u got persons story,28
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,0,hamster dead hey tmr meet 1pm orchard mrt,64
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx,131
ham,"Found it, ENC  &lt;#&gt; , where you at?",0,found enc ltgt,40
ham,I sent you  &lt;#&gt;  bucks,0,sent ltgt bucks,28
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0,hello darlin ive finished college txt u finish u love kate xxx,84
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance rs ltdecimalgt transaction id kr ltgt,174
ham,Goodmorning sleeping ga.,0,goodmorning sleeping ga,24
ham,U call me alter at 11 ok.,0,u call alter 11 ok,25
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,0,ìï say like dat dun buy ericsson oso cannot oredi lar,64
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,entered cabin pa said happy bday boss felt special askd 4 lunch lunch invited apartment went,156
ham,"Aight yo, dats straight dogg",0,aight yo dats straight dogg,28
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0,please give us connection today ltdecimalgt refund bill,86
ham,Both :) i shoot big loads so get ready!,0,shoot big loads get ready,39
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",0,whats bruv hope great break rewarding semester,73
ham,Home so we can always chat,0,home always chat,26
ham,K:)k:)good:)study well.,0,kkgoodstudy well,23
ham,Yup... How Ì_ noe leh...,0,yup ì noe leh,24
ham,Sounds great! Are you home now?,0,sounds great home,31
ham,Finally the match heading towards draw as your prediction.,0,finally match heading towards draw prediction,58
ham,Tired. I haven't slept well the past few nights.,0,tired havent slept well past nights,48
ham,Easy ah?sen got selected means its good..,0,easy ahsen got selected means good,41
ham,I have to take exam with march 3,0,take exam march 3,32
